                      Top1_20   Top3_20   Top5_20   Top7_20  Top10_20  \
1080Lines            0.849315  0.803653  0.803653  0.826484  0.817352   
1400Ripples          0.815385  0.746154  0.753846  0.784615  0.769231   
Air_Compressor       0.843537  0.795918  0.792517  0.823129  0.809524   
Blip                 0.843750  0.795139  0.791667  0.819444  0.809028   
Blip_Low_Frequency   0.841270  0.785714  0.785714  0.817460  0.805556   
Chirp                0.928571  0.642857  0.785714  0.785714  0.785714   
Extremely_Loud       0.843206  0.794425  0.790941  0.818815  0.808362   
Fast_Scattering      0.845361  0.797251  0.793814  0.821306  0.810997   
Helix                0.900000  0.650000  0.750000  0.750000  0.750000   
Koi_Fish             0.844291  0.795848  0.792388  0.820069  0.809689   
Light_Modulation     0.846154  0.782051  0.794872  0.833333  0.833333   
Low_Frequency_Burst  0.844068  0.796610  0.793220  0.823729  0.810169   
Low_Frequency_Lines  0.844920  0.780749  0.786096  0.802139  0.796791   
No_Glitch            0.848375  0.794224  0.787004  0.815884  0.805054   
Paired_Doves         0.844660  0.791262  0.796117  0.815534  0.810680   
Power_Line           0.836364  0.745455  0.754545  0.790909  0.772727   
Repeating_Blips      0.857143  0.761905  0.771429  0.809524  0.790476   
Scattered_Light      0.846667  0.800000  0.796667  0.826667  0.813333   
Scratchy             0.864078  0.766990  0.776699  0.815534  0.796117   
Tomte                0.845118  0.797980  0.794613  0.824916  0.811448   
Violin_Mode          0.884615  0.769231  0.788462  0.807692  0.807692   
Wandering_Line       0.894737  0.684211  0.736842  0.736842  0.736842   
Whistle              0.835391  0.781893  0.777778  0.810700  0.802469   
total                0.845271  0.787879  0.788338  0.816804  0.805785   

                      Top1_40   Top3_40   Top5_40   Top7_40  Top10_40  \
1080Lines            0.885845  0.872146  0.853881  0.849315  0.849315   
1400Ripples          0.900000  0.869231  0.853846  0.846154  0.838462   
Air_Compressor       0.819728  0.772109  0.751701  0.751701  0.734694   
Blip                 0.829861  0.774306  0.756944  0.753472  0.736111   
Blip_Low_Frequency   0.861111  0.833333  0.809524  0.793651  0.789683   
Chirp                0.714286  0.714286  0.642857  0.642857  0.642857   
Extremely_Loud       0.829268  0.773519  0.756098  0.752613  0.738676   
Fast_Scattering      0.828179  0.773196  0.756014  0.752577  0.731959   
Helix                0.700000  0.700000  0.700000  0.650000  0.650000   
Koi_Fish             0.830450  0.775087  0.757785  0.754325  0.733564   
Light_Modulation     0.871795  0.833333  0.833333  0.820513  0.794872   
Low_Frequency_Burst  0.816949  0.769492  0.749153  0.749153  0.732203   
Low_Frequency_Lines  0.898396  0.882353  0.871658  0.866310  0.860963   
No_Glitch            0.844765  0.797834  0.779783  0.765343  0.750903   
Paired_Doves         0.888350  0.878641  0.859223  0.854369  0.854369   
Power_Line           0.900000  0.881818  0.863636  0.854545  0.845455   
Repeating_Blips      0.895238  0.876190  0.866667  0.857143  0.838095   
Scattered_Light      0.813333  0.763333  0.746667  0.746667  0.726667   
Scratchy             0.893204  0.873786  0.864078  0.854369  0.834951   
Tomte                0.811448  0.764310  0.747475  0.747475  0.727273   
Violin_Mode          0.865385  0.826923  0.826923  0.788462  0.769231   
Wandering_Line       0.736842  0.736842  0.736842  0.684211  0.684211   
Whistle              0.876543  0.843621  0.818930  0.810700  0.806584   
total                0.846419  0.806933  0.789486  0.783517  0.769972   

                      Top1_60   Top3_60   Top5_60   Top7_60  Top10_60  \
1080Lines            0.881279  0.849315  0.867580  0.876712  0.863014   
1400Ripples          0.892308  0.838462  0.853846  0.861538  0.869231   
Air_Compressor       0.799320  0.782313  0.812925  0.823129  0.785714   
Blip                 0.802083  0.784722  0.815972  0.822917  0.795139   
Blip_Low_Frequency   0.829365  0.805556  0.829365  0.837302  0.809524   
Chirp                0.857143  0.785714  0.928571  1.000000  1.000000   
Extremely_Loud       0.801394  0.783972  0.815331  0.822300  0.794425   
Fast_Scattering      0.800687  0.783505  0.814433  0.821306  0.793814   
Helix                0.800000  0.750000  0.850000  0.900000  0.900000   
Koi_Fish             0.799308  0.785467  0.816609  0.823529  0.795848   
Light_Modulation     0.846154  0.820513  0.833333  0.858974  0.846154   
Low_Frequency_Burst  0.800000  0.783051  0.813559  0.823729  0.786441   
Low_Frequency_Lines  0.898396  0.860963  0.877005  0.882353  0.882353   
No_Glitch            0.805054  0.787004  0.815884  0.819495  0.794224   
Paired_Doves         0.883495  0.854369  0.873786  0.883495  0.868932   
Power_Line           0.881818  0.845455  0.863636  0.872727  0.872727   
Repeating_Blips      0.876190  0.847619  0.857143  0.866667  0.866667   
Scattered_Light      0.800000  0.780000  0.810000  0.820000  0.780000   
Scratchy             0.873786  0.844660  0.854369  0.864078  0.864078   
Tomte                0.801347  0.784512  0.814815  0.821549  0.784512   
Violin_Mode          0.826923  0.788462  0.807692  0.846154  0.846154   
Wandering_Line       0.842105  0.789474  0.894737  0.947368  0.947368   
Whistle              0.839506  0.818930  0.835391  0.847737  0.818930   
total                0.826676  0.803719  0.830119  0.839532  0.815657   

                      Top1_80   Top3_80   Top5_80   Top7_80  Top10_80  \
1080Lines            0.872146  0.881279  0.885845  0.904110  0.881279   
1400Ripples          0.869231  0.861538  0.876923  0.900000  0.892308   
Air_Compressor       0.806122  0.795918  0.809524  0.823129  0.795918   
Blip                 0.815972  0.802083  0.812500  0.826389  0.802083   
Blip_Low_Frequency   0.829365  0.829365  0.833333  0.857143  0.833333   
Chirp                0.857143  0.857143  0.785714  0.857143  0.857143   
Extremely_Loud       0.815331  0.801394  0.811847  0.829268  0.801394   
Fast_Scattering      0.807560  0.797251  0.807560  0.821306  0.793814   
Helix                0.800000  0.800000  0.800000  0.850000  0.850000   
Koi_Fish             0.813149  0.802768  0.813149  0.823529  0.799308   
Light_Modulation     0.871795  0.871795  0.897436  0.897436  0.897436   
Low_Frequency_Burst  0.803390  0.793220  0.806780  0.820339  0.793220   
Low_Frequency_Lines  0.887701  0.887701  0.893048  0.914439  0.893048   
No_Glitch            0.823105  0.815884  0.819495  0.837545  0.812274   
Paired_Doves         0.888350  0.893204  0.893204  0.917476  0.893204   
Power_Line           0.872727  0.881818  0.890909  0.909091  0.909091   
Repeating_Blips      0.866667  0.876190  0.885714  0.904762  0.904762   
Scattered_Light      0.806667  0.790000  0.800000  0.810000  0.786667   
Scratchy             0.864078  0.873786  0.883495  0.902913  0.902913   
Tomte                0.804714  0.794613  0.804714  0.818182  0.791246   
Violin_Mode          0.884615  0.846154  0.846154  0.865385  0.865385   
Wandering_Line       0.842105  0.842105  0.789474  0.842105  0.842105   
Whistle              0.843621  0.851852  0.860082  0.868313  0.843621   
total                0.831726  0.825987  0.834481  0.850551  0.828742   

                     Top1_100  Top3_100  Top5_100  Top7_100  Top10_100  \
1080Lines            0.894977  0.894977  0.890411  0.904110   0.890411   
1400Ripples          0.915385  0.900000  0.923077  0.930769   0.907692   
Air_Compressor       0.806122  0.816327  0.806122  0.823129   0.799320   
Blip                 0.815972  0.822917  0.812500  0.826389   0.809028   
Blip_Low_Frequency   0.861111  0.857143  0.876984  0.884921   0.861111   
Chirp                0.857143  0.928571  0.928571  0.928571   0.857143   
Extremely_Loud       0.818815  0.825784  0.815331  0.829268   0.811847   
Fast_Scattering      0.810997  0.814433  0.807560  0.821306   0.804124   
Helix                0.900000  0.950000  0.950000  0.950000   0.900000   
Koi_Fish             0.813149  0.820069  0.809689  0.823529   0.806228   
Light_Modulation     0.897436  0.884615  0.910256  0.923077   0.910256   
Low_Frequency_Burst  0.806780  0.816949  0.806780  0.823729   0.800000   
Low_Frequency_Lines  0.882353  0.887701  0.887701  0.898396   0.887701   
No_Glitch            0.833935  0.833935  0.833935  0.844765   0.823105   
Paired_Doves         0.893204  0.888350  0.883495  0.898058   0.883495   
Power_Line           0.900000  0.881818  0.909091  0.927273   0.909091   
Repeating_Blips      0.895238  0.876190  0.904762  0.923810   0.904762   
Scattered_Light      0.810000  0.816667  0.800000  0.816667   0.796667   
Scratchy             0.893204  0.873786  0.902913  0.922330   0.902913   
Tomte                0.808081  0.818182  0.804714  0.821549   0.801347   
Violin_Mode          0.884615  0.865385  0.903846  0.923077   0.903846   
Wandering_Line       0.894737  0.947368  0.947368  0.947368   0.894737   
Whistle              0.880658  0.872428  0.884774  0.893004   0.868313   
total                0.843205  0.845041  0.844123  0.857897   0.838154   

                     Top1_120  Top3_120  Top5_120  Top7_120  Top10_120  \
1080Lines            0.894977  0.908676  0.917808  0.908676   0.904110   
1400Ripples          0.876923  0.892308  0.907692  0.900000   0.900000   
Air_Compressor       0.829932  0.812925  0.816327  0.816327   0.809524   
Blip                 0.833333  0.819444  0.819444  0.822917   0.819444   
Blip_Low_Frequency   0.865079  0.861111  0.873016  0.865079   0.857143   
Chirp                0.857143  0.928571  1.000000  1.000000   1.000000   
Extremely_Loud       0.836237  0.818815  0.822300  0.825784   0.822300   
Fast_Scattering      0.831615  0.817869  0.817869  0.821306   0.817869   
Helix                0.900000  0.900000  1.000000  0.950000   0.950000   
Koi_Fish             0.833910  0.816609  0.816609  0.820069   0.816609   
Light_Modulation     0.897436  0.910256  0.923077  0.923077   0.910256   
Low_Frequency_Burst  0.830508  0.813559  0.816949  0.816949   0.810169   
Low_Frequency_Lines  0.893048  0.903743  0.914439  0.903743   0.903743   
No_Glitch            0.833935  0.830325  0.837545  0.833935   0.830325   
Paired_Doves         0.898058  0.907767  0.917476  0.907767   0.902913   
Power_Line           0.890909  0.900000  0.918182  0.918182   0.909091   
Repeating_Blips      0.895238  0.904762  0.923810  0.923810   0.914286   
Scattered_Light      0.823333  0.806667  0.810000  0.816667   0.803333   
Scratchy             0.893204  0.902913  0.922330  0.922330   0.912621   
Tomte                0.831650  0.814815  0.814815  0.818182   0.808081   
Violin_Mode          0.884615  0.884615  0.923077  0.923077   0.923077   
Wandering_Line       0.894737  0.894737  1.000000  0.947368   0.947368   
Whistle              0.876543  0.872428  0.884774  0.876543   0.868313   
total                0.853306  0.847107  0.854913  0.853306   0.847337   

                     Top1_140  Top3_140  Top5_140  Top7_140  Top10_140  \
1080Lines            0.904110  0.917808  0.908676  0.904110   0.922374   
1400Ripples          0.907692  0.915385  0.900000  0.892308   0.915385   
Air_Compressor       0.819728  0.846939  0.829932  0.836735   0.829932   
Blip                 0.822917  0.847222  0.829861  0.836806   0.829861   
Blip_Low_Frequency   0.853175  0.869048  0.849206  0.857143   0.865079   
Chirp                1.000000  1.000000  0.928571  0.928571   1.000000   
Extremely_Loud       0.822300  0.846690  0.829268  0.836237   0.829268   
Fast_Scattering      0.821306  0.848797  0.831615  0.838488   0.831615   
Helix                1.000000  1.000000  0.950000  0.950000   1.000000   
Koi_Fish             0.823529  0.847751  0.830450  0.837370   0.830450   
Light_Modulation     0.884615  0.910256  0.897436  0.871795   0.923077   
Low_Frequency_Burst  0.816949  0.844068  0.827119  0.833898   0.827119   
Low_Frequency_Lines  0.898396  0.909091  0.903743  0.903743   0.919786   
No_Glitch            0.837545  0.862816  0.837545  0.844765   0.844765   
Paired_Doves         0.902913  0.912621  0.907767  0.902913   0.922330   
Power_Line           0.909091  0.918182  0.909091  0.890909   0.918182   
Repeating_Blips      0.914286  0.923810  0.914286  0.895238   0.933333   
Scattered_Light      0.813333  0.840000  0.823333  0.826667   0.820000   
Scratchy             0.912621  0.932039  0.922330  0.902913   0.932039   
Tomte                0.818182  0.841751  0.824916  0.828283   0.821549   
Violin_Mode          0.884615  0.884615  0.865385  0.865385   0.923077   
Wandering_Line       1.000000  1.000000  0.947368  0.947368   1.000000   
Whistle              0.868313  0.884774  0.868313  0.868313   0.876543   
total                0.850551  0.870983  0.854913  0.856520   0.861570   

                     Top1_160  Top3_160  Top5_160  Top7_160  Top10_160  \
1080Lines            0.904110  0.913242  0.917808  0.904110   0.913242   
1400Ripples          0.900000  0.930769  0.915385  0.915385   0.930769   
Air_Compressor       0.833333  0.812925  0.816327  0.802721   0.809524   
Blip                 0.843750  0.822917  0.826389  0.812500   0.819444   
Blip_Low_Frequency   0.873016  0.861111  0.876984  0.857143   0.861111   
